Back
Scratch, H1,00000864,00000852,00000804,00000776,00000720,00000704,00000668,00000624,00000612,00000560,+00512.837,+01221.838,+00540.070,+00868.413,+00510.156,+02214.504,+00677.239,+01523.470,+00727.417,+01055.914,+00680.742,+01140.235,+00539.420,+02067.836,+00752.045,+01490.310,+01007.412,+00564.062,+00809.821,+01549.784,
Scratch, H2,00001116,00000808,00000672,00000616,00000612,00000608,00000580,00000432,00000000,00000000,+01075.960,+04275.807,+00695.367,+04020.575,+00542.989,+03406.917,+00565.307,+02432.071,+00670.630,+04298.885,+01511.032,+03997.096,+01061.460,+03858.300,+01009.369,+03340.654,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H3,00000920,00000872,00000760,00000596,00000580,00000468,00000440,00000424,00000420,00000000,+01222.274,+04633.354,+01195.911,+06406.274,+01297.352,+04835.909,+01076.519,+04922.868,+01116.845,+06450.698,+01261.174,+06369.129,+00601.069,+06140.204,+00616.350,+06086.127,+00918.262,+05584.914,+00000.000,+00000.000,
Scratch, H4,00001648,00000976,00000944,00000696,00000596,00000576,00000540,00000508,00000452,00000428,+01770.059,+04704.259,+01632.194,+06437.997,+01936.749,+06282.764,+02628.478,+06375.725,+01905.222,+06503.647,+02447.294,+06553.047,+01845.839,+04505.958,+02586.618,+06505.162,+02218.839,+06108.408,+02569.639,+06581.949,
Scratch, H5,00001044,00000800,00000776,00000748,00000696,00000620,00000592,00000504,00000500,00000476,+02824.451,+06493.994,+03687.919,+04877.555,+03666.159,+04649.959,+03625.628,+05306.696,+02628.478,+06375.725,+03716.220,+05643.253,+03693.640,+05441.951,+03604.042,+04594.491,+02586.646,+06505.340,+03270.478,+06195.082,
Scratch, H6,00000800,00000800,00000704,00000564,00000548,00000532,00000000,00000000,00000000,00000000,+03587.370,+03760.547,+03659.463,+04065.291,+03585.192,+04311.851,+03221.104,+03025.907,+03528.246,+03486.972,+03121.281,+03778.955,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H8,00000504,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+01709.676,+00252.963,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, H9,00000704,00000556,00000536,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+02021.011,+02654.230,+02191.770,+04212.536,+02072.765,+03918.290,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Shape, H10 cam1,88.627,
Shape, H11 cam2,083,
Shape, H12 cam3,088,
Shape, H13 Flash,93.332,
Shape, H14 mic,86.274,
Shape, H15 Logo,85.489,
Scratch, H15 Logo,00001552,00001292,00001268,00001240,00000980,00000952,00000948,00000904,00000824,00000760,+02423.063,+03325.772,+01964.130,+03158.989,+01967.771,+03239.322,+02130.768,+03619.571,+01927.301,+03209.594,+01953.977,+03642.283,+02246.207,+03402.368,+02229.357,+03247.153,+02209.418,+03645.735,+02306.022,+03189.628,
Shape, H16 Script,00.000,
Shape, H17 Lidar,84.705,
Scratch, H18 cam area,00007872,00004784,00003792,00001888,00001824,00001104,00001024,00001024,00000992,00000656,+02707.535,+01545.234,+02831.398,+01696.533,+02346.477,+01497.684,+02738.364,+01647.277,+02347.037,+00704.353,+02739.090,+01701.384,+02688.052,+00478.179,+02838.365,+00792.741,+02391.177,+01506.132,+03058.934,+01119.958,
OCR, H1,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H2,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H3,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H4,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H5,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H6,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H7,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H8,          ,99,99,99,99,99,99,99,99,99,99,
OCR, H9,          ,99,99,99,99,99,99,99,99,99,99,
Crack, H1,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,+0000000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,00000.000,
Crack, H10,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
Crack, H11,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
Crack, All Edges,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
Crack, Camera Edges,096,142,000,000,000,000,000,000,000,000,00000280,00000128,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
Crack, H12,000,000,000,000,000,000,000,000,000,000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
Crack, H18,016,000,000,000,000,000,000,000,000,000,00000144,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,
data_end
