Top
Scratch, T1,00002124,00001908,00001152,00001028,00000964,00000824,00000788,00000756,00000672,00000448,+02170.773,+01101.580,+01771.703,+01056.924,+02421.191,+00748.858,+01752.165,+00476.935,+01746.210,+00707.238,+02328.289,+01114.955,+01754.140,+00343.059,+01744.723,+00828.727,+02323.366,+00935.817,+02206.191,+00987.575,
Scratch, T2,00002124,00002040,00001920,00001772,00001656,00001532,00001064,00000916,00000892,00000824,+02170.773,+01101.580,+01721.748,+01760.239,+01738.173,+01491.601,+01727.977,+01583.758,+01720.569,+01669.125,+01769.109,+01062.581,+01729.015,+01374.878,+01724.649,+01271.467,+01717.936,+01829.692,+02328.289,+01114.955,
Scratch, T3,00002328,00001992,00001956,00001616,00001580,00000992,00000980,00000700,00000688,00000540,+02085.956,+02691.288,+01701.954,+02642.829,+01719.292,+02172.505,+01707.191,+02309.504,+01706.187,+02554.598,+02394.771,+02592.329,+02043.037,+02288.008,+02381.343,+02692.095,+02298.562,+02587.561,+01813.572,+02009.152,
Scratch, T4,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Bottom
Scratch, B1,00001780,00001404,00001016,00000816,00000792,00000788,00000768,00000560,00000552,00000536,+01860.521,+01149.735,+01850.500,+01253.274,+01858.915,+00984.409,+02211.327,+00886.018,+02070.111,+01074.335,+01866.531,+01072.505,+02068.159,+00982.433,+02071.021,+01166.541,+02074.569,+01257.950,+01649.557,+00883.820,
Scratch, B2,00006642,00003456,00001368,00001071,00000000,00000000,00000000,00000000,00000000,00000000,+01761.211,+01689.932,+02243.437,+01687.679,+01668.306,+01778.665,+01865.202,+01987.495,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Scratch, B3,00001872,00000999,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+01891.938,+02736.105,+02211.744,+02666.363,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
Shape, B4,093,
Shape, B5,069,
Shape, B6,070,
Shape, B7,072,
Shape, B8,090,
Scratch, B9,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,+00000.000,
data_end